epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,1150.51,0.36541,1.25434,0.90172,0.8621,0.13782,0.14309,0.11049,1.12212,4.01151,1.35053,0.000177104,0.000177104,0.000177104
136,1159.88,0.37388,1.21939,0.88431,0.86181,0.13742,0.14225,0.10653,1.09467,3.99329,1.33727,0.0001745,0.0001745,0.0001745
137,1171.05,0.44343,1.11128,0.95018,0.86181,0.13742,0.14225,0.10653,1.09467,3.99329,1.33727,0.000171897,0.000171897,0.000171897
138,1180.18,0.35775,1.16886,0.88464,0.86181,0.13742,0.14225,0.10653,1.09467,3.99329,1.33727,0.000169293,0.000169293,0.000169293
139,1189.37,0.37964,1.06657,0.88118,0.86181,0.13742,0.14225,0.10653,1.09467,3.99329,1.33727,0.000166689,0.000166689,0.000166689
140,1196.65,0.31663,1.00377,0.8719,0.86282,0.13634,0.14279,0.10439,1.12144,3.96778,1.34973,0.000164086,0.000164086,0.000164086
141,1203.23,0.4158,1.16264,0.92644,0.86282,0.13634,0.14279,0.10439,1.12144,3.96778,1.34973,0.000161482,0.000161482,0.000161482
142,1209.93,0.32778,1.15087,0.86334,0.86282,0.13634,0.14279,0.10439,1.12144,3.96778,1.34973,0.000158878,0.000158878,0.000158878
143,1217.28,0.39116,1.14826,0.90977,0.86282,0.13634,0.14279,0.10439,1.12144,3.96778,1.34973,0.000156275,0.000156275,0.000156275
144,1223.64,0.40162,1.18604,0.84918,0.86264,0.13543,0.14267,0.10501,1.11272,3.95447,1.34481,0.000153671,0.000153671,0.000153671
145,1230,0.36306,1.04909,0.89724,0.86264,0.13543,0.14267,0.10501,1.11272,3.95447,1.34481,0.000151067,0.000151067,0.000151067
146,1236.34,0.38105,1.09127,0.90031,0.86264,0.13543,0.14267,0.10501,1.11272,3.95447,1.34481,0.000148463,0.000148463,0.000148463
147,1242.6,0.40085,1.07192,0.92293,0.86264,0.13543,0.14267,0.10501,1.11272,3.95447,1.34481,0.00014586,0.00014586,0.00014586
148,1251.67,0.37609,1.09938,0.90067,0.86043,0.13518,0.15155,0.11012,1.10807,3.94587,1.34356,0.000143256,0.000143256,0.000143256
149,1260.91,0.39753,1.02025,0.89782,0.86043,0.13518,0.15155,0.11012,1.10807,3.94587,1.34356,0.000140652,0.000140652,0.000140652
150,1269.6,0.39177,1.01116,0.89254,0.86043,0.13518,0.15155,0.11012,1.10807,3.94587,1.34356,0.000138049,0.000138049,0.000138049
151,1278.61,0.32567,1.0881,0.88483,0.86043,0.13518,0.15155,0.11012,1.10807,3.94587,1.34356,0.000135445,0.000135445,0.000135445
152,1290.66,0.32772,1.095,0.88349,0.85468,0.13859,0.15347,0.11161,1.1098,3.96719,1.34096,0.000132841,0.000132841,0.000132841
153,1297.48,0.37046,1.04523,0.89804,0.85468,0.13859,0.15347,0.11161,1.1098,3.96719,1.34096,0.000130238,0.000130238,0.000130238
154,1304.01,0.39679,1.00624,0.88432,0.85468,0.13859,0.15347,0.11161,1.1098,3.96719,1.34096,0.000127634,0.000127634,0.000127634
155,1311.1,0.33216,1.0481,0.9041,0.85468,0.13859,0.15347,0.11161,1.1098,3.96719,1.34096,0.00012503,0.00012503,0.00012503
156,1318.03,0.31831,0.99634,0.88056,0.84333,0.14242,0.15556,0.1121,1.13153,3.9719,1.34111,0.000122426,0.000122426,0.000122426
157,1324.7,0.32774,1.04776,0.87821,0.84333,0.14242,0.15556,0.1121,1.13153,3.9719,1.34111,0.000119823,0.000119823,0.000119823
158,1335.99,0.39185,1.11627,0.91668,0.84333,0.14242,0.15556,0.1121,1.13153,3.9719,1.34111,0.000117219,0.000117219,0.000117219
159,1344.92,0.3072,1.1108,0.89965,0.84333,0.14242,0.15556,0.1121,1.13153,3.9719,1.34111,0.000114615,0.000114615,0.000114615
160,1354.19,0.43722,1.19143,0.90827,0.85447,0.13521,0.15813,0.11438,1.15054,3.96886,1.33982,0.000112012,0.000112012,0.000112012
161,1365.99,0.39763,1.18841,0.90005,0.85447,0.13521,0.15813,0.11438,1.15054,3.96886,1.33982,0.000109408,0.000109408,0.000109408
162,1372.52,0.41233,1.04612,0.9149,0.85447,0.13521,0.15813,0.11438,1.15054,3.96886,1.33982,0.000106804,0.000106804,0.000106804
163,1378.98,0.33961,1.04191,0.9341,0.85447,0.13521,0.15813,0.11438,1.15054,3.96886,1.33982,0.000104201,0.000104201,0.000104201
164,1385.88,0.41166,1.17869,0.92042,0.84286,0.14242,0.15493,0.11688,1.15989,3.94959,1.33765,0.000101597,0.000101597,0.000101597
165,1392.83,0.30509,0.91179,0.86046,0.84286,0.14242,0.15493,0.11688,1.15989,3.94959,1.33765,9.89932e-05,9.89932e-05,9.89932e-05
